census_tract,county,state,pct_black_african_amer,pct_amer_indian_alaska_native,pct_asian,pct_native_hawaii_pacific,pct_two_or_more_races,pct_white,pct_hispanic_latino,pct_other_races,pct_age_under_10,pct_age_10_to_64,pct_age_over_64,total_threshold_criteria_exceeded,total_categories_exceeded,disadvantaged_without_neighbors,disadvantaged_with_neighbors_relaxed_low_inc_threshold,disadvantaged,total_population,adj_pct_indiv_below_200_fpl_percentile,adj_pct_indiv_below_200_fpl,is_low_income,expected_agri_loss_rate_nri,expected_building_loss_rate_nri,expected_population_loss_rate_nri,share_of_properties_fire_risk_in_30_years,energy_burden,housing_burden_pct,median_value_owner_occupied_housing_units,tract_covered_impervious_surface_cropland,percentile_tract_covered_impervious_surface_cropland,tract_min_35_acres,asthma_among_18plus_adults,diabetes_among_18plus_adults,heart_disease_among_18plus_adults,life_expectancy_years,unemployment_pct,pct_indiv_below_200_fpl,pct_indiv_below_100_fpl,merge_id_census_tract,developed_open_space_area21,developed_low_intensity_area22,developed_med_intensity_area23,developed_high_intensity_area24,developed_open_space_prop21,developed_low_intensity_prop22,developed_med_intensity_prop23,developed_high_intensity_prop24,merge_id_county,min_temp_celsius,max_temp_celsius,avg_temp_celsius,st_dev_temp_celsius,year_temp,avg_temp_fahren
06001400100,Alameda County,California,0.03,0.0,0.12,0.0,0.05,0.74,0.03,0.01,0.07,0.66,0.26,0,0.0,False,False,False,3120.0,0.08,0.01,False,0.1316,0.0252,0.0,1.0,1.0,16.0,1197900.0,1051.0,13.0,True,770.0,800.0,500.0,87.2,5.0,10.0,3.0,06001400100,2162700.0,620100.0,204300.0,36000.0,0.313748531139835,0.089959524742133,0.02963833398616,0.005222613918266,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001400200,Alameda County,California,0.02,0.0,0.08,0.0,0.09,0.73,0.08,0.0,0.1,0.66,0.23,0,0.0,False,False,False,2007.0,0.12,0.03,False,0.0,0.0006,0.0,0.0,0.0,8.0,1385400.0,5380.0,72.0,True,790.0,620.0,380.0,81.5,3.0,10.0,6.0,06001400200,66600.0,193500.0,269100.0,55800.0,0.113846153846154,0.330769230769231,0.46,0.095384615384615,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001400300,Alameda County,California,0.09,0.0,0.11,0.0,0.01,0.67,0.06,0.02,0.11,0.73,0.15,0,0.0,False,False,False,5051.0,0.09,0.02,False,0.0,0.0005,0.0,0.0,1.0,16.0,1053200.0,6803.0,87.0,True,880.0,590.0,320.0,87.2,3.0,10.0,5.0,06001400300,6300.0,124200.0,768600.0,205200.0,0.005704971475143,0.112469437652812,0.6960065199674,0.185819070904645,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001400400,Alameda County,California,0.07,0.01,0.1,0.0,0.07,0.63,0.12,0.04,0.09,0.78,0.11,0,0.0,False,False,False,4007.0,0.3,0.12,False,0.0,0.0005,0.0,0.0,1.0,21.0,1111600.0,5894.0,78.0,True,890.0,580.0,310.0,82.9,2.0,21.0,10.0,06001400400,9000.0,197100.0,454500.0,54000.0,0.012594458438287,0.275818639798489,0.636020151133501,0.075566750629723,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001400500,Alameda County,California,0.21,0.0,0.1,0.0,0.15,0.45,0.09,0.02,0.09,0.81,0.08,0,0.0,False,False,False,4124.0,0.23,0.09,False,0.0,0.0005,0.0,0.0,1.0,28.0,813800.0,6574.0,85.0,True,930.0,700.0,330.0,78.8,3.0,21.0,12.0,06001400500,27000.0,54900.0,433800.0,75600.0,0.045662100456621,0.092846270928463,0.733637747336377,0.127853881278539,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001400600,Alameda County,California,0.21,0.0,0.11,0.0,0.1,0.49,0.07,0.02,0.09,0.81,0.08,0,0.0,False,False,False,1745.0,0.12,0.04,False,0.0,0.0005,0.0,0.0,1.0,22.0,825700.0,6884.0,88.0,True,940.0,670.0,290.0,78.59,7.0,15.0,9.0,06001400600,900.0,33300.0,242100.0,22500.0,0.003012048192771,0.11144578313253,0.810240963855422,0.075301204819277,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001400700,Alameda County,California,0.28,0.0,0.06,0.0,0.11,0.38,0.19,0.11,0.07,0.82,0.09,0,0.0,False,False,False,5128.0,0.51,0.23,False,0.0,0.0005,0.0,0.0,1.0,30.0,702500.0,7136.0,90.0,True,990.0,960.0,409.0,80.09,6.0,33.0,8.0,06001400700,3600.0,54000.0,659700.0,163800.0,0.004085801838611,0.061287027579162,0.748723186925434,0.185903983656793,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001400800,Alameda County,California,0.24,0.0,0.15,0.0,0.09,0.43,0.1,0.05,0.09,0.81,0.09,0,0.0,False,False,False,4069.0,0.58,0.27,False,0.0,0.0005,0.0,0.0,1.0,29.0,697000.0,7220.0,90.0,True,960.0,919.0,409.0,76.9,5.0,35.0,10.0,06001400800,6300.0,59400.0,463500.0,174600.0,0.008951406649616,0.084398976982097,0.658567774936061,0.248081841432225,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001400900,Alameda County,California,0.28,0.02,0.04,0.0,0.06,0.41,0.15,0.08,0.11,0.79,0.09,0,0.0,False,False,False,2471.0,0.42,0.18,False,0.0,0.0005,0.0,0.0,1.0,33.0,774700.0,7194.0,90.0,True,1019.0,910.0,400.0,74.5,5.0,28.0,14.0,06001400900,,20700.0,328500.0,71100.0,,0.049250535331906,0.781584582441114,0.169164882226981,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
06001401000,Alameda County,California,0.32,0.0,0.06,0.01,0.09,0.33,0.18,0.08,0.09,0.8,0.09,0,0.0,False,False,False,6133.0,0.41,0.18,False,0.0,0.001,0.0,0.0,1.0,32.0,728800.0,7564.0,92.0,True,1070.0,980.0,400.0,77.5,4.0,27.0,18.0,06001401000,3600.0,40500.0,736200.0,366300.0,0.003139717425432,0.035321821036107,0.642072213500785,0.319466248037677,06001,15.0379161834716,18.6283340454101,16.5137600143664,0.640934737834086,2014,61.72476802585952
