census_tract_2010_id,county_name,state_territory,percent_black_or_african_american_alone,percent_american_indian___alaska_native,percent_asian,percent_native_hawaiian_or_pacific,percent_two_or_more_races,percent_white,percent_hispanic_or_latino,percent_other_races,percent_age_under_10,percent_age_10_to_64,percent_age_over_64,total_threshold_criteria_exceeded,total_categories_exceeded,identified_as_disadvantaged_without_considering_neighbors,identified_as_disadvantaged_based_on_neighbors_and_relaxed_low_income_threshold_only,identified_as_disadvantaged,total_population,adjusted_percent_of_individuals_below_200pct_federal_poverty_line_percentile,adjusted_percent_of_individuals_below_200pct_federal_poverty_line,is_low_income,expected_agricultural_loss_rate_natural_hazards_risk_index,expected_building_loss_rate_natural_hazards_risk_index,expected_population_loss_rate_natural_hazards_risk_index,share_of_properties_at_risk_of_fire_in_30_years,energy_burden,housing_burden_percent,median_value_usd_of_owner-occupied_housing_units,share_of_the_tract's_land_area_that_is_covered_by_impervious_surface_or_cropland_as_a_percent,share_of_the_tract's_land_area_that_is_covered_by_impervious_surface_or_cropland_as_a_percent_percentile,does_the_tract_have_at_least_35_acres_in_it,current_asthma_among_adults_aged_greater_than_or_equal_to_18_years,diagnosed_diabetes_among_adults_aged_greater_than_or_equal_to_18_years,coronary_heart_disease_among_adults_aged_greater_than_or_equal_to_18_years,life_expectancy_years,unemployment_percent,percent_of_individuals_below_200pct_federal_poverty_line,percent_of_individuals_below_100pct_federal_poverty_line
6001400100,Alameda County,California,0.03,0.0,0.12,0.0,0.05,0.74,0.03,0.01,0.07,0.66,0.26,0,0.0,False,False,False,3120.0,0.08,0.01,False,0.1316,0.0252,0.0,1.0,1.0,16.0,1197900.0,1051.0,13.0,True,770.0,800.0,500.0,87.2,5.0,10.0,3.0
6001400200,Alameda County,California,0.02,0.0,0.08,0.0,0.09,0.73,0.08,0.0,0.1,0.66,0.23,0,0.0,False,False,False,2007.0,0.12,0.03,False,0.0,0.0006,0.0,0.0,0.0,8.0,1385400.0,5380.0,72.0,True,790.0,620.0,380.0,81.5,3.0,10.0,6.0
6001400300,Alameda County,California,0.09,0.0,0.11,0.0,0.01,0.67,0.06,0.02,0.11,0.73,0.15,0,0.0,False,False,False,5051.0,0.09,0.02,False,0.0,0.0005,0.0,0.0,1.0,16.0,1053200.0,6803.0,87.0,True,880.0,590.0,320.0,87.2,3.0,10.0,5.0
6001400400,Alameda County,California,0.07,0.01,0.1,0.0,0.07,0.63,0.12,0.04,0.09,0.78,0.11,0,0.0,False,False,False,4007.0,0.3,0.12,False,0.0,0.0005,0.0,0.0,1.0,21.0,1111600.0,5894.0,78.0,True,890.0,580.0,310.0,82.9,2.0,21.0,10.0
6001400500,Alameda County,California,0.21,0.0,0.1,0.0,0.15,0.45,0.09,0.02,0.09,0.81,0.08,0,0.0,False,False,False,4124.0,0.23,0.09,False,0.0,0.0005,0.0,0.0,1.0,28.0,813800.0,6574.0,85.0,True,930.0,700.0,330.0,78.8,3.0,21.0,12.0
6001400600,Alameda County,California,0.21,0.0,0.11,0.0,0.1,0.49,0.07,0.02,0.09,0.81,0.08,0,0.0,False,False,False,1745.0,0.12,0.04,False,0.0,0.0005,0.0,0.0,1.0,22.0,825700.0,6884.0,88.0,True,940.0,670.0,290.0,78.59,7.0,15.0,9.0
6001400700,Alameda County,California,0.28,0.0,0.06,0.0,0.11,0.38,0.19,0.11,0.07,0.82,0.09,0,0.0,False,False,False,5128.0,0.51,0.23,False,0.0,0.0005,0.0,0.0,1.0,30.0,702500.0,7136.0,90.0,True,990.0,960.0,409.0,80.09,6.0,33.0,8.0
6001400800,Alameda County,California,0.24,0.0,0.15,0.0,0.09,0.43,0.1,0.05,0.09,0.81,0.09,0,0.0,False,False,False,4069.0,0.58,0.27,False,0.0,0.0005,0.0,0.0,1.0,29.0,697000.0,7220.0,90.0,True,960.0,919.0,409.0,76.9,5.0,35.0,10.0
6001400900,Alameda County,California,0.28,0.02,0.04,0.0,0.06,0.41,0.15,0.08,0.11,0.79,0.09,0,0.0,False,False,False,2471.0,0.42,0.18,False,0.0,0.0005,0.0,0.0,1.0,33.0,774700.0,7194.0,90.0,True,1019.0,910.0,400.0,74.5,5.0,28.0,14.0
6001401000,Alameda County,California,0.32,0.0,0.06,0.01,0.09,0.33,0.18,0.08,0.09,0.8,0.09,0,0.0,False,False,False,6133.0,0.41,0.18,False,0.0,0.001,0.0,0.0,1.0,32.0,728800.0,7564.0,92.0,True,1070.0,980.0,400.0,77.5,4.0,27.0,18.0
