Date last researched,Country,Project name,Unit name,Project name in local language / script,Other name(s),Capacity (MW),Fuel,Operating status,Is conversion?,Unit conversion year,Unit start year,Retired year,Hydrogen Capable,Operator,Operator name in local language / script,Owner,Owner name in local language / script,Latitude,Longitude,Location accuracy,City,"Local area (taluk, county)","Major area (prefecture, district)",State/Province,Subregion,Region,GEM location ID,GEM phase ID,Other IDs (location),Other IDs (unit/phase),Wiki URL
6/11/24,United Kingdom,3Rs Walsall power station,1,,Walsall EFW,44,bioenergy: refuse (municipal and industrial wastes),pre-construction,,,2027,,,BH Energy Gap,,BH Energy Gap [100%],,52.6086,-2.0103,exact,,,West Midlands Combined Authority,England,Northern Europe,Europe,L100000201233,G100000201467,REPD: 12292,,https://gem.wiki/3Rs_Walsall_power_station
10/3/22,Finland,Äänekoski Bioproduct Mill power station,1,,Metsa Aanekoski (Sellu),260,"bioenergy: wood & other biomass (solids), bioenergy: wood & other biomass (syngas)",operating,,,2017,,,,,Metsä Fibre Oy [100%],,62.5908,25.7522,exact,,Central Finland,Western and Central Finland,,Northern Europe,Europe,L100000200209,G100000200235,ENTSO-E: 44W-T-YT-000017B,,https://gem.wiki/Äänekoski_Bioproduct_Mill_power_station
6/26/24,Egypt,Abu Rawash power station,1,,ReNergy Abu Rawash,30,bioenergy: refuse (municipal and industrial wastes),pre-construction,,,2026,,,,,Renergy Group Partners LLC,,30.042122,31.095022,approximate,Abou Rawash,,,Giza Governorate,Northern Africa,Africa,L100001017968,G100001019958,,,https://www.gem.wiki/Abu_Rawash
5/2/23,Sweden,Åbyverket power station,G3,,,100,"bioenergy: wood & other biomass (solids), fossil liquids: waste/other oil",operating,,,1974,,,E.ON Värme Sverige,,E.ON Värme Sverige AB [100%],,59.2649,15.1772,exact,Örebro,Örebro County,,,Northern Europe,Europe,L100000201212,G100000201440,ENTSO-E: 46WPU0000000063L,,https://gem.wiki/Åbyverket_power_station
10/14/22,Italy,Acerra power station,1,,,68,bioenergy: biodiesel,operating,,,2008,,,FRI-EL Group,,FRI-EL Group [100%],,40.9744,14.3766,exact,,Napoli,,Campania,Southern Europe,Europe,L100000200210,G100000200236,,,https://gem.wiki/Acerra_power_station
10/14/22,Italy,Acerra Waste-to-Energy power station,1,,,36,bioenergy: refuse (municipal and industrial wastes),operating,,,2009,,,A2A,,A2A SpA [100%],,40.9791,14.3828,exact,,Napoli,,Campania,Southern Europe,Europe,L100000200211,G100000200237,,,https://gem.wiki/Acerra_Waste-to-Energy_power_station
10/14/22,Italy,Acerra Waste-to-Energy power station,2,,,36,bioenergy: refuse (municipal and industrial wastes),operating,,,2009,,,A2A,,A2A SpA [100%],,40.9791,14.3828,exact,,Napoli,,Campania,Southern Europe,Europe,L100000200211,G100000200238,,,https://gem.wiki/Acerra_Waste-to-Energy_power_station
10/14/22,Italy,Acerra Waste-to-Energy power station,3,,,36,bioenergy: refuse (municipal and industrial wastes),operating,,,2009,,,A2A,,A2A SpA [100%],,40.9791,14.3828,exact,,Napoli,,Campania,Southern Europe,Europe,L100000200211,G100000200239,,,https://gem.wiki/Acerra_Waste-to-Energy_power_station
5/8/23,Netherlands,AEC Moerdijk power station,1,,Attero Waste to Energy,125,bioenergy: refuse (municipal and industrial wastes),operating,,,1997,,,Attero Noord,,,,51.683,4.5805,exact,,,,North Brabant,Western Europe,Europe,L100000201185,G100000201408,,,https://gem.wiki/AEC_Moerdijk_power_station
5/5/23,Netherlands,Afval Energie Bedrijf Amsterdam power station,AEC,,"Avi Amsterdam, Alkmaar AEB Amsterdam",39,"bioenergy: refuse (municipal and industrial wastes), bioenergy: wastewater and sewage sludge (solids or biogas)",operating,,,1993,,,AEB Exploitatie,,AEB [100%],,52.4011,4.7935,exact,Amsterdam,,,North Holland,Western Europe,Europe,L100000200212,G100000200240,,,https://gem.wiki/Afval_Energie_Bedrijf_Amsterdam_power_station
