id,share,shareDatasource,company_id,owner_id
12,100.0,[1236],E100000001400,E100000000503
5235,26.0,"[6072, 6070]",E100000120152,E100000120610
2615,,[2605],E100000004018,E100000000655
66,100.0,[1866],E100000000922,E100000000920
33,100.0,"[804, 5919]",E100000000380,E100000000382
13223,90.0,"[6311, 6297]",E100000121346,E100000000382
22270,13.04,[109856],E100000001985,E100001000178
104,50.0,"[5603, 5604, 5605]",E100000001596,E100000000746
6,100.0,[1139],E100000001377,E100000000475
91,100.0,[804],E100000001568,E100000000026
14,100.0,[804],E100000001407,E100000001101
39,,"[1586, 1587]",E100000001470,E100000000411
77,65.0,[838],E100000001545,E100000000836
5241,,[],E100000121280,E100000121302
19,100.0,[1452],E100000001436,E100000000338
5236,21.92,"[7943, 7944]",E100000120895,E100000120695
9,,"[1198, 109917]",E100000001387,E100000000336
59,47.27,[11369],E100000001029,E100000001035
101,47.4,[2231],E100000001586,E100000001067
72,100.0,[780],E100000001524,E100000000504
80,40.0,"[109890, 109896]",E100000001549,E100000000368
4359,30.0,[5893],E100001000864,E100001000866
97,100.0,[5332],E100000001578,E100000000119
5244,,[],E100000120400,E100000120399
51,99.0,[1713],E100000001481,E100000001640
1855,,"[2644, 2647, 2646, 2645]",E100000004063,E100000001161
21920,50.0,"[2919, 10687]",E100000000007,E100001010997
1846,100.0,[2632],E100000004055,E100000000580
81,,"[2045, 2044]",E100000001550,E100000001705
21,100.0,"[792, 804]",E100000001438,E100000001101
87,100.0,[2092],E100000001563,E100000000365
63,100.0,[],E100000001490,E100000001158
4539,45.05,[5931],E100000002416,E100001000915
73,100.0,[283],E100000001536,E100000000918
2635,,"[2644, 2647, 2646, 2645]",E100000004063,E100000001262
93,100.0,[2124],E100000001570,E100000000823
11950,100.0,[6119],E100000125212,E100000124910
55,46.67,[1750],E100000001491,E100000000771
5237,,[6339],E100000120480,E100000000522
49,100.0,[1685],E100000001459,E100000000021
92,,[2120],E100000001569,E100000001091
2632,,"[2640, 2639]",E100000004060,E100000000847
28,100.0,[721],E100000001440,E100000001103
26,100.0,[760],E100000001439,E100000001607
1851,,"[2640, 2639]",E100000004060,E100000000610
1843,100.0,"[2629, 2628, 2630]",E100000004053,E100000000975
84,52.0,"[327, 2062, 99]",E100000001554,E100000000367
5233,100.0,"[6070, 6081]",E100000120894,E100000001926
88,100.0,"[456, 2093]",E100000001564,E100000000332
102,100.0,[2238],E100000001576,E100000000506
22412,75.59,[61354],E100000001832,E100001011371
5232,100.0,[6070],E100000120710,E100000001926
13123,75.0,"[6223, 108950]",E100001010014,E100001000782
103,99.6,[2239],E100000001577,E100000000506
8,100.0,"[110130, 110131]",E100000001382,E100000000818
79,100.0,"[106054, 106055]",E100000001547,E100000000824
21773,5.37,[10438],E100000001636,E100001010887
94,100.0,[2129],E100000001560,E100000000869
25,100.0,[1498],E100000001445,E100000000650
44,100.0,[1617],E100000001474,E100000001234
45,100.0,[114659],E100000001477,E100000000382
69,100.0,[1921],E100000001525,E100000000902
1856,,"[2644, 2647, 2646, 2645]",E100000004064,E100000001161
1852,100.0,[2641],E100000004056,E100000000322
78,100.0,"[340, 2021]",E100000001546,E100000000474
36,,"[106049, 109898]",E100000001464,E100000000829
85,100.0,[2063],E100000001555,E100000000363
13161,9.76,[6243],E100001000519,E100001010034
68,100.0,"[5963, 5964]",E100000001510,E100000000472
38,50.0,"[774, 6047]",E100000001467,E100000000473
3,100.0,[105829],E100000001373,E100000000735
22051,35.0,"[11512, 11513]",E100001011084,E100000001030
23,100.0,[1480],E100000001443,E100000000735
5243,100.0,[6108],E100000121410,E100000121133
2622,,[2611],E100000004034,E100000000934
17683,100.0,[6119],E100000127822,E100000123261
5234,74.0,"[6072, 6070]",E100000120152,E100000001926
23173,,[97941],E100001013321,E100000131977
83,100.0,[2060],E100000001553,E100000000475
90,100.0,[2096],E100000001566,E100000000025
99,100.0,[137],E100000001574,E100000001000
62,100.0,[80],E100000001497,E100000000765
86,100.0,[2076],E100000001561,E100000000024
13224,33.33,"[6312, 6313]",E100000120742,E100001010067
17686,100.0,[6119],E100000128490,E100000123261
145,,[114282],E100000001706,E100000000914
1882,100.0,[1181],E100000004088,E100000001248
13162,7.41,[6243],E100001000519,E100001010035
2647,51.0,"[2680, 2679]",E100000004096,E100000000451
22271,20.0,[2933],E100000121031,E100000000707
119,100.0,[655],E100000001639,E100000000980
112,100.0,[2392],E100000001613,E100000000826
111,100.0,"[2391, 6216]",E100000001612,E100000000826
21624,100.0,[7939],E100001010799,E100000003343
150,100.0,[2785],E100000001713,E100000000838
5246,100.0,[6108],E100000120266,E100000121133
167,100.0,"[2898, 1280]",E100000001727,E100000001006
201,0.04,[2239],E100000001577,E100000000507
1866,80.0,"[2658, 2657]",E100000004074,E100000000415
5261,74.0,[10338],E100000121393,E100000120005
5249,100.0,[7297],E100000121103,E100000120675
4424,100.0,"[5897, 108502, 108504]",E100001000898,E100001000402
5250,74.0,"[6070, 6085, 108408]",E100000121104,E100000001926
5255,95.0,"[8088, 8089]",E100000121459,E100000001941
21774,40.0,[10439],E100001000675,E100001010888
194,,"[2045, 2044]",E100000001550,E100000001720
5247,50.0,"[6074, 6070]",E100000120674,E100000001926
1865,100.0,[2656],E100000004073,E100000000989
2636,,"[2644, 2647, 2646, 2645]",E100000004064,E100000001262
5257,100.0,[8062],E100000121524,E100000121523
136,100.0,[106057],E100000001687,E100000000915
3271,96.9,[5006],E100000000573,E100001000023
197,,[2120],E100000001569,E100000000737
182,1.0,[1713],E100000001481,E100000001753
135,100.0,[2690],E100000001686,E100000000369
108,100.0,[2374],E100000001611,E100000000331
1887,100.0,[1865],E100000004091,E100000001242
932,100.0,"[1762, 5590]",E100000003081,E100000001055
1867,100.0,"[1291, 1292]",E100000004075,E100000001170
5263,100.0,[8048],E100000120893,E100000120765
17687,100.0,[6119],E100000128434,E100000123261
