from,to,share
EP0,E100000002215,100.0
EP1,E100000002215,100.0
EP2,E100000001858,100.0
EP3,E100000001858,100.0
EP4,E100000001858,100.0
EP5,E100000001858,100.0
EP6,E100000001858,100.0
EP7,E100000001759,100.0
EP8,E100000001759,100.0
EP9,E100000001759,100.0
EP10,E100000003784,100.0
EP11,E100000000380,100.0
EP12,E100000001950,100.0
EP13,E100000002138,100.0
EP14,E100000002138,100.0
EP15,E100000003517,100.0
EP16,E100000001121,100.0
EP17,E100000001177,
EP18,E100000001177,
EP19,E100000001177,
EP20,E100000001177,
EP21,E100000000556,100.0
EP22,E100000000556,100.0
EP23,E100000000556,100.0
EP24,E100000000556,100.0
EP25,E100000000556,100.0
EP26,E100000000556,100.0
EP27,E100000000556,100.0
EP28,E100000000556,100.0
EP29,E100000000556,100.0
EP30,E100000000556,100.0
EP31,E100000002390,100.0
EP32,E100000002294,100.0
EP33,E100000002391,100.0
EP34,E100001011697,100.0
EP35,E100000001371,100.0
EP35,E100000001533,
EP36,E100000120527,50.0
EP36,E100001014888,50.0
EP37,E100000003828,100.0
EP38,E100000003828,100.0
EP39,E100000120245,33.0
EP39,E100000001223,33.0
EP39,E100000000758,33.0
EP40,E100000120245,33.0
EP40,E100000001223,33.0
EP40,E100000000758,33.0
EP41,E100000120245,33.0
EP41,E100000001223,33.0
EP41,E100000000758,33.0
EP42,E100000002005,
EP43,E100000002005,
EP44,E100000002005,
EP45,E100000001866,100.0
EP46,E100000001866,100.0
EP47,E100000001866,100.0
EP48,E100000001866,100.0
EP49,E100000001866,100.0
EP50,E100000001866,100.0
EP51,E100000001859,100.0
EP52,E100000001859,100.0
EP53,E100000001859,100.0
EP54,E100000001859,100.0
EP55,E100000000921,100.0
EP56,E100000000921,100.0
EP57,E100000000921,100.0
EP58,E100000002720,100.0
EP59,E100000001209,100.0
EP60,E100000003288,100.0
EP61,E100000000978,100.0
EP62,E100000002407,100.0
EP63,E100001010278,
EP64,E100000001745,100.0
EP65,E100000002969,100.0
EP66,E100000002355,100.0
EP67,E100000002355,100.0
EP68,E100000002355,100.0
EP69,E100000002087,100.0
EP70,E100000002087,100.0
EP71,E100000002016,100.0
EP72,E100000002016,100.0
EP73,E100000002016,100.0
EP74,E100000002016,100.0
EP75,E100000002016,100.0
EP76,E100000002016,100.0
EP77,E100000000801,100.0
EP78,E100000002263,100.0
EP79,E100000002370,100.0
EP80,E100000002042,100.0
EP81,E100000002042,100.0
EP82,E100000004243,100.0
EP83,E100000004243,100.0
EP84,E100000004243,100.0
EP85,E100000004243,100.0
EP86,E100000004243,100.0
EP87,E100000004243,100.0
EP88,E100000004202,100.0
EP89,E100000004243,100.0
EP90,E100000004243,100.0
EP91,E100000003846,100.0
EP92,E100000134259,100.0
EP93,E100000002400,100.0
EP93,E100000137544,100.0
EP94,E100000002400,100.0
EP94,E100000137544,100.0
EP95,E100000002400,100.0
EP95,E100000137544,100.0
EP96,E100000002400,100.0
EP96,E100000137544,100.0
EP97,E100000000573,100.0
EP98,E100000000573,100.0
EP99,E100000000573,100.0
EP100,E100000000573,100.0
EP101,E100000001630,100.0
EP102,E100000001630,
EP103,E100000001630,
EP104,E100000002400,100.0
EP104,E100000137544,100.0
EP105,E100000002400,100.0
EP105,E100000137544,100.0
EP106,E100001010460,100.0
EP107,E100000001291,100.0
EP108,E100000001291,100.0
EP109,E100000001291,100.0
EP110,E100000001291,100.0
EP111,E100000001291,100.0
EP112,E100000001291,100.0
EP113,E100000001291,100.0
EP114,E100000001291,100.0
EP115,E100000002207,100.0
EP116,E100000002016,100.0
EP117,E100000004191,100.0
EP118,E100000004191,100.0
EP119,E100000002307,100.0
EP120,E100000002307,100.0
EP121,E100000002307,100.0
EP122,E100000002307,100.0
EP123,E100000002402,100.0
EP124,E100000002402,100.0
EP125,E100000002402,100.0
EP126,E100000002402,100.0
EP127,E100000002402,100.0
EP128,E100000002402,100.0
EP129,E100000002865,100.0
EP130,E100000003605,100.0
EP131,E100000004239,50.0
EP131,E100000000655,50.0
EP132,E100000003480,100.0
EP133,E100000003480,100.0
EP134,E100000003480,100.0
EP135,E100000003480,100.0
EP136,E100000004059,100.0
EP137,E100000004059,100.0
EP138,E100000004059,100.0
EP139,E100000000724,100.0
EP140,E100000004059,100.0
EP141,E100000004059,100.0
EP142,E100000004059,100.0
EP143,E100000004059,100.0
EP144,E100000004059,100.0
EP145,E100000004059,100.0
EP146,E100000001859,100.0
EP147,E100000001859,100.0
EP148,E100000002404,100.0
EP149,E100000002331,100.0
EP150,E100000001871,100.0
EP151,E100000001871,100.0
EP152,E100000001576,100.0
EP153,E100000001576,100.0
EP154,E100001012034,100.0
EP155,E100000004132,100.0
EP156,E100000001354,100.0
EP157,E100000001354,100.0
EP158,E100000001354,100.0
EP159,E100000002138,100.0
EP160,E100000002138,100.0
EP161,E100000002138,100.0
EP162,E100000002138,100.0
EP163,E100000000658,100.0
EP164,E100000000646,100.0
EP165,E100000000646,100.0
EP166,E100000002409,100.0
EP167,E100000002411,100.0
EP168,E100000002411,
EP169,,
EP170,,
EP171,E100000001997,100.0
EP172,E100000004145,100.0
EP173,E100000001443,100.0
EP174,E100000001887,100.0
EP175,E100000001373,100.0
EP176,E100000001373,100.0
EP177,E100000003015,100.0
EP178,E100000001354,100.0
EP179,E100000002367,100.0
EP180,E100000002367,100.0
EP181,E100000002367,100.0
EP182,E100000004262,35.0
