Name,gas capacity,coal plant capacity,bioenergy plant capacity,coal mine capacity,steel plant capacity,ID,Entity Type,Legal Entity Type,PubliclyListed,Country
(Hong Kong) Dewei Industrial Investment,3528.0000000000005,0.0,0.0,0.0,0.0,E100000001514,legal entity,Co Ltd,,
100 Thuwanon,0.0,0.0,0.0,0.0,0.0,E100000131203,,Co,,
1590 Energy,23520.0,0.0,0.0,0.0,0.0,E100000002359,legal entity,Co,,
1832 Asset Management,434.112,0.0,0.0,0.0,0.0,E100001014315,legal entity,LP,False,Canada
1947 Trust,0.0,799.2727066333332,0.0,10.5240237282411,0.0,E100001016594,legal entity,,,Singapore
24R Advisory Services,0.0,15072.000000000004,0.0,0.0,0.0,E100001010786,legal entity,Pvt Ltd,False,India
27 municipal utilities and regional energy suppliers,470.6415,0.0,0.0,0.0,0.0,E100000000393,legal entity,,,Germany
3-Energoortalyk,42960.0,0.0,0.0,0.0,0.0,E100000002360,legal entity,JSC,,
3B Power,0.0,39.154006800000005,0.0,0.0,0.0,E100001010780,legal entity,Sdn Bhd,False,Malaysia
4C Acquisition,0.0,5726.7,0.0,0.0,0.0,E100001001188,legal entity,LLC,False,United States
8 Rivers Capital,10908.333333333334,0.0,0.0,0.0,0.0,E100000002168,legal entity,,,United States
99 Thuwanon,0.0,0.0,0.0,0.0,0.0,E100000131205,,Co,,
A Brown,45000.0,27000.0,0.0,0.0,0.0,E100000000804,legal entity,Co Inc,,Philippines
A N Investment,0.0,3902.08,0.0,1.3936000000000002,0.0,E100001011010,legal entity,Pvt Ltd,False,India
A-Property,0.0,0.0,0.0,2430.0,0.0,E100001000755,legal entity,LLC,False,Russia
A-Property Logistics,0.0,0.0,0.0,0.0,0.0,E100001016474,legal entity,LLC,,Russia
A. Finkl & Sons,0.0,0.0,0.0,0.0,18754.289999999997,E100000130827,legal entity,Corp,False,United States
A.P. Møller Capital,14000.0,0.0,0.0,0.0,0.0,E100001011145,legal entity,P/S,False,Denmark
A2A,434992.725,2458.6875,12600.0,6.5565,0.0,E100000000602,legal entity,SpA,True,Italy
A2A Energiefuture,90300.0,0.0,0.0,0.0,0.0,E100000002361,legal entity,,,
AA Thermal,0.0,3.9191233855679997,0.0,0.0,0.0,E100001010877,legal entity,Inc,False,Philippines
AB CarVal Investors,0.0,0.0,0.0,0.0,22165.0,E100001016198,legal entity,LP,False,United States
ABM Investama,0.0,0.0,0.0,0.0,0.0,E100000131209,,,,
AC Energy and Infrastructure,0.0,3.9191233855679997,0.0,0.0,0.0,E100001010878,legal entity,Corp,False,Philippines
ACB (India),10400.0,104200.0,0.0,0.0,0.0,E100000120005,legal entity,Ltd,False,India
ACB (India) Power,0.0,13500.0,0.0,0.0,0.0,E100001010857,legal entity,Ltd,False,India
ACEN,12985.0,0.0,0.0,0.0,0.0,E100000000805,legal entity,Corp,True,Philippines
ACORN Infrastructure Services,63900.0,0.0,0.0,0.0,0.0,E100000002363,legal entity,Ltd,False,Bangladesh
ACWA Power,405200.7866790501,0.0,0.0,0.0,0.0,E100000000882,legal entity,Co,True,Saudi Arabia
ACWA Power Global Holdings,6956.775000000001,0.0,0.0,0.0,0.0,E100001010611,legal entity,Ltd,,United Arab Emirates
ACWA Power Global Services,28964.38264605,0.0,0.0,0.0,0.0,E100001010602,legal entity,LLC,False,United Arab Emirates
ACWA Power Jordan Holdings (JAFZA),22007.607646049997,0.0,0.0,0.0,0.0,E100001010601,legal entity,,,United Arab Emirates
