from,to,share
E100000001858,E100000000354,100.0
E100000000354,E100001000146,100.0
E100000001759,E100001011410,
E100000003784,E100000000431,100.0
E100000000380,E100000000382,100.0
E100000000382,E100001000901,6.37
E100000000382,E100001000079,23.64
E100000000382,E100000123261,8.2
E100000000382,E100001015587,61.79
E100000002138,E100001000292,100.0
E100001000292,E100001000293,100.0
E100000003517,E100000000012,75.33
E100000003517,E100000001753,24.67
E100000000556,E100001015106,100.0
E100000002390,E100000000981,100.0
E100000001104,E100001000346,9.0
E100000001104,E100001000174,9.0
E100000001104,E100001000347,9.0
E100000002391,E100000001104,100.0
E100000001104,E100001016770,5.0
E100000000659,E100001000178,6.05
E100000000659,E100001000894,54.75
E100001000511,E100000001533,100.0
E100000000630,E100000001753,78.13
E100000001533,E100000000659,50.0
E100000000659,E100000001753,39.2
E100000000630,E100001000178,15.17
E100000000630,E100001000179,5.3
E100000001533,E100000000630,50.0
E100000000806,E100000120026,48.68
E100000001371,E100000000806,51.87
E100000001371,E100001000511,27.0
E100000001371,E100000001753,21.13
E100001000178,E100001016125,46.5
E100001000178,E100001000382,33.5
E100001000178,E100001011617,10.0
E100001016255,E100001015587,69.82
E100001000179,E100001016255,33.3
E100001000179,E100000134222,27.0
E100001000179,E100001016256,16.7
E100001000179,E100000133542,8.0
E100001000179,E100001016257,5.0
E100001016255,E100001000178,16.93
E100001000179,E100001015587,10.0
E100001016255,E100000123261,6.84
E100001000178,E100001016126,10.0
E100001016126,E100001016492,100.0
E100001016125,E100001016498,100.0
E100001016255,E100001000179,6.41
E100000000806,E100001001034,7.59
E100000000806,E100001015587,43.73
E100000120527,E100000000834,100.0
E100000000834,E100000125329,20.86
E100000000834,E100001010862,6.82
E100000000834,E100001000348,6.82
E100000000834,E100001000089,5.62
E100001000089,E100001014359,
E100001000348,E100001015587,86.27
E100001000348,E100001010595,8.66
E100001000348,E100001015833,5.07
E100000000888,E100001000198,94.19
E100000000888,E100000001753,5.81
E100000003828,E100000000888,100.0
E100000120245,E100000124420,100.0
E100001010706,E100001010707,100.0
E100000001223,E100001014543,7.6
E100000001223,E100001014849,6.15
E100000001223,E100001000348,6.4
E100000001223,E100001010595,8.13
E100001010707,E100001000901,100.0
E100000001223,E100001010706,5.0
E100000002005,E100001000279,100.0
E100000001866,E100000000354,100.0
E100000001859,E100000000354,100.0
E100000000921,E100001000088,100.0
E100000002720,E100000001163,100.0
E100000003288,E100000000975,100.0
E100000000845,E100000000839,100.0
E100000000975,E100000000845,8.69
E100000000975,E100001000348,5.29
E100001010278,E100001010270,99.99
E100001010270,E100001010271,33.34
E100001010271,E100001016142,15.3
E100001010271,E100001016143,11.24
E100001010271,E100001015587,
E100000002969,E100000001057,50.0
E100000002969,E100000001454,50.0
E100000000433,E100001000348,6.3
E100001000330,E100000000845,100.0
E100000000433,E100001000330,9.1
E100000001454,E100000000433,15.0
E100000001454,E100001000089,5.02
E100000000433,E100001015587,72.6
E100000000433,E100000123261,12.0
E100001000270,E100001000094,100.0
E100000002087,E100001011056,73.41
E100001011056,E100001010702,99.59
E100000002087,E100001010702,7.54
E100000121185,E100001000270,100.0
E100001010702,E100000001492,100.0
E100000001492,E100001000270,38.37
E100000001492,E100000121185,10.97
E100000002016,E100001000081,100.0
E100000001305,E100001010595,12.53
E100000001305,E100001010706,11.1
E100000001305,E100001010705,11.0
E100001010705,E100001010707,100.0
E100000001305,E100001000348,7.2
E100000001305,E100001010596,5.08
E100001010596,E100001015587,81.39
E100001010596,E100001010595,12.01
E100001010596,E100001015644,6.6
E100000000801,E100001000194,50.4
E100000000801,E100002000021,49.1
E100002000021,E100000001305,
E100000002263,E100000001148,100.0
E100000002370,E100000001305,100.0
E100000002042,E100000000763,70.0
E100000002042,E100000000762,30.0
E100000004243,E100000000764,100.0
E100000004202,E100001015604,
E100000004202,E100001015602,
E100000004202,E100001015600,
E100000004202,E100001015603,
E100001015601,E100001015607,100.0
E100000004202,E100001015601,
E100000003846,E100000001277,100.0
E100000000573,E100001000023,96.9
E100000000573,E100000001753,3.1
E100000001630,E100000000475,100.0
E100001010460,E100000000006,100.0
E100000001291,E100001010222,100.0
E100000004191,E100000000140,100.0
E100000002402,E100000000758,
E100000002402,E100000001180,
E100000001180,E100000001179,100.0
E100000001179,E100001010595,8.56
E100000001179,E100001000348,7.0
E100000001179,E100001010596,6.6
E100000001179,E100000001155,6.7
E100000000730,E100001000258,100.0
E100000003605,E100000000730,100.0
E100000004239,E100000000661,49.0
E100000004239,E100000001032,51.0
E100000000655,E100000000663,100.0
E100001000391,E100000000339,100.0
E100000000339,E100001010063,56.0
E100001000390,E100000000340,100.0
E100000000340,E100001001103,50.0
E100001001103,E100001000391,100.0
E100000000340,E100001000392,50.0
E100000000339,E100001010064,44.0
E100000003480,E100001000390,
E100000003480,E100000001753,
E100000001755,E100001000008,100.0
E100000004059,E100000001755,100.0
E100000000724,E100001000107,100.0
E100000002404,E100000000375,100.0
E100000001576,E100000000506,100.0
E100000000506,E100001000264,100.0
E100001012034,E100000001324,100.0
E100000004132,E100000000878,100.0
E100000001354,E100001000278,100.0
E100000000646,E100001000249,7.64
E100000000646,E100001000178,12.82
E100000000646,E100001000179,5.21
E100000002409,E100001011231,39.59
E100000002409,E100001011232,21.44
E100000002411,E100000001061,79.0
E100000002411,E100000001753,21.0
E100000000689,E100001010042,40.0
E100000004145,E100000000689,100.0
E100000000689,E100000123261,60.0
E100000001443,E100000000735,100.0
E100000001373,E100000000735,100.0
E100000003015,E100000001215,100.0
E100000002367,E100000001305,100.0
E100000004262,E100000001317,100.0
E100000002368,E100001000217,100.0
E100001000217,E100000001305,100.0
E100000002419,E100000000757,100.0
E100000000757,E100001000296,
E100000000757,E100001000297,
E100000000757,E100001000298,
E100000002158,E100001000280,82.0
E100000002158,E100000001753,18.0
E100000001358,E100001000198,100.0
E100000000890,E100000001753,18.8
E100001000322,E100000000888,100.0
E100000000890,E100001000322,6.93
E100000000890,E100000001358,74.31
E100000121469,E100000001830,100.0
E100000001830,E100001010860,12.03
E100000001830,E100001010861,5.5
E100001000316,E100000000608,100.0
E100000000968,E100001000316,70.1
E100000000608,E100001001025,23.59
E100000000608,E100001000348,5.02
E100000000968,E100000001753,29.9
E100000000608,E100001015587,71.18
E100001000754,E100000000382,100.0
E100000000882,E100000001358,44.17
E100000000882,E100000000893,22.75
E100000000882,E100000123261,3.68
E100000000882,E100001015587,29.4
E100000000651,E100001000178,16.17
E100000000651,E100001016127,9.16
E100000000651,E100001015587,68.94
E100000000651,E100001000179,5.73
E100000002125,E100001000283,100.0
E100001000283,E100001000282,100.0
E100000001375,E100000000468,25.0
E100000001375,E100000000470,75.0
E100001000272,E100001000273,100.0
E100001000273,E100001000094,100.0
E100000003741,E100001000272,82.47
E100000002413,E100000000382,45.0
E100000002413,E100000001680,
E100000000675,E100001000209,16.67
E100000001680,E100001000209,100.0
E100000002413,E100000000675,45.0
E100000000675,E100000000777,16.67
E100000000675,E100000000839,16.67
E100000000675,E100001000198,16.67
E100000000675,E100001000210,16.67
E100000000675,E100001000211,16.67
E100000002347,E100001000281,100.0
E100000002423,E100000001133,100.0
E100000001133,E100001014079,9.02
E100000001133,E100001015587,90.98
E100000002424,E100000001133,
E100000121497,E100000120499,
E100001011739,E100001011741,
E100000003212,E100000000382,30.0
E100000003212,E100000003527,40.0
