company_id,plant_id,powerplant_unit_id,share
E100000000573,L100000400330,,100.0
E100000000380,L100000406370,,100.0
E100000000373,L100000407827,,100.0
E100000000476,L100000400295,,100.0
E100000122584,,G100000107779,100.0
E100000000739,L100000400530,,100.0
E100000121203,,G100000101156,100.0
E100000000457,L100000400536,,100.0
E100000000380,L100000400027,,100.0
E100000000476,L100000400293,,100.0
E100000000382,L100000400544,,100.0
E100000001265,L100000407710,,100.0
E100000000362,L100000400077,,100.0
E100000000031,L100000400015,,100.0
E100000000832,,G100000917694,100.0
E100000000023,L100000407823,,100.0
E100000000433,,G100000921032,
E100000000770,L100000400551,,100.0
E100000001267,,G100000805374,100.0
E100000000743,L100000408017,,100.0
E100000000366,L100000400081,,100.0
E100000122600,L100000101718,,100.0
E100000002213,L100000104108,,100.0
E100000000830,L100000400578,,100.0
E100000000021,L100000400012,,100.0
E100000122597,L100000101720,,100.0
E100000122499,L100000104740,,100.0
E100000000380,L100000406369,,100.0
E100000000380,L100000400033,,100.0
E100000000372,L100000407831,,100.0
E100000000358,,G100000923897,100.0
E100000000380,L100000407649,,100.0
E100000000476,L100000406395,,100.0
E100000000738,L100000400501,,100.0
E100000000364,L100000101840,,100.0
E100000000476,L100000102001,,100.0
E100000000361,L100000101852,,100.0
E100001010880,L100001000083,,
E100000000573,L100000407817,,100.0
E100000000375,L100000400552,,100.0
E100000000827,L100000406377,,100.0
E100000000380,L100000400040,,100.0
E100000000380,L100000400024,,100.0
E100000000346,L100000400074,,100.0
E100000001267,,G100000805391,100.0
E100000000333,L100000406388,,100.0
E100000000826,L100000400579,,100.0
E100000122360,L100000101011,,100.0
E100000000348,L100000400071,,100.0
E100000122487,L100000101148,,100.0
E100000000576,L100000407818,,100.0
E100000000433,L100000407651,,100.0
E100000000349,L100000400072,,100.0
E100000122602,,G100000111087,100.0
E100000000834,L100000400587,,100.0
E100000133134,,G100000801256,100.0
E100000122505,L100000101140,,100.0
E100000000471,L100000406396,,100.0
E100000000380,L100000400039,,100.0
E100000157734,,G100000802432,85.0
E100000000380,L100000100087,,100.0
E100000000380,L100000400023,,100.0
